gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_004316,889,1519,1538,1196,1528,1121,1170,1502,1121,1542
FUN_004317,338,377,534,367,796,568,481,723,561,917
FUN_004318,375,491,278,435,757,719,589,789,719,991
FUN_004319,1765,2670,1480,1889,3344,2412,2081,2952,2562,3255
FUN_004320,236,580,537,649,589,488,394,566,550,639
FUN_004321,0,34,25,27,19,29,31,43,18,32
FUN_004322,6826,8838,8362,8070,18278,13252,11802,17644,15068,16963
FUN_004323,1020,1296,1235,1243,1731,1418,1232,1672,1490,1959
FUN_004324,370,497,484,390,880,848,574,1075,1069,1186
FUN_004325,1734,2348,2400,1840,2496,2120,1850,2152,1971,2374
FUN_004326,984,1137,925,1199,2229,1875,1427,2126,1830,2400
FUN_004327,195,326,310,323,553,452,347,572,442,644
FUN_004328,32,78,82,71,99,81,64,94,79,112
FUN_004329,0,0,12,15,0,0,0,14,0,0
FUN_004330,2967,4364,2118,3222,5180,4450,3587,4754,4144,7131
FUN_004331,216,253,71,145,240,175,229,341,274,503
FUN_004332,12,47,26,2,3136,2745,1517,4910,4174,4507
FUN_004333,232,195,288,123,37,69,178,6,6,21
FUN_004334,529,655,793,439,946,717,633,955,883,1400
FUN_004335,41,135,24,1,2612,1325,26,3297,2713,3724
FUN_004336,99,216,68,3,2717,2426,2019,4084,3713,4140
FUN_004337,35,62,57,76,127,108,74,122,95,134
FUN_004338,58,97,62,118,156,132,124,170,173,199
FUN_004339,448,423,260,261,586,439,513,357,376,455
FUN_004340,858,910,917,768,2922,2049,1273,2911,2275,3236
FUN_004341,299,306,252,218,734,627,544,701,607,842
FUN_004342,231,250,246,250,604,522,283,645,489,640
FUN_004343,1298,1757,1272,1350,3323,2382,1914,3722,2934,3580
FUN_004344,227,272,193,219,445,300,264,524,308,492
FUN_004345,409,562,348,461,997,709,521,856,793,1041
FUN_004346,107,129,90,129,220,183,129,209,162,259
FUN_004347,41,63,31,52,58,90,55,61,78,94
FUN_004348,203,433,292,262,583,497,300,494,478,513
FUN_004349,400,497,165,401,743,601,547,933,757,833
FUN_004350,379,515,507,529,1058,746,600,866,711,972
FUN_004351,0,18,18,3,12,14,0,7,0,11
FUN_004352,1886,1835,2589,362,2029,2759,1790,2179,2401,2304
FUN_004353,0,0,11,0,0,0,0,0,0,0
FUN_004354,42,65,71,46,132,98,66,97,118,124
FUN_004355,317,381,253,328,769,783,704,696,668,1023
FUN_004356,198,271,317,225,365,322,204,319,315,447
FUN_004357,1999,2604,2092,2233,4348,3450,3422,5067,3820,5329
FUN_004358,427,508,486,544,1043,770,560,788,710,1149
FUN_004359,519,608,575,470,1086,868,717,963,851,1120
FUN_004360,49,38,31,45,113,103,53,69,76,93
FUN_004361,225,240,79,179,485,407,376,368,322,544
FUN_004362,40,43,23,56,84,73,53,78,68,106
FUN_004363,297,493,387,355,475,360,373,460,513,688
FUN_004364,0,0,0,0,0,15,0,0,0,0
FUN_004365,24,20,32,17,57,42,18,50,57,71
FUN_004366,379,587,337,537,709,625,632,771,642,828
FUN_004367,261,373,403,267,521,384,281,485,393,624
FUN_004368,437,777,430,419,1221,1020,453,992,948,1518
FUN_004369,0,0,0,0,0,0,0,0,0,0
FUN_004370,359,642,456,796,769,782,435,404,490,1015
FUN_004371,236,365,249,282,545,430,383,425,469,585
FUN_004372,512,731,796,656,1099,860,678,1118,846,1193
FUN_004373,1659,2094,2334,2198,5400,4715,3321,5233,3961,5896
FUN_004374,551,756,737,743,1453,1114,920,1472,1058,1524
FUN_004375,148,175,245,212,294,250,178,309,258,351
FUN_004376,265,626,383,782,634,802,388,360,443,916
FUN_004377,912,1316,1119,1141,1904,1384,1185,1879,1457,1906
FUN_004378,60,74,77,84,109,95,57,136,84,136
FUN_004379,0,0,0,0,0,0,0,0,0,0
FUN_004380,4,1,6,0,11,0,4,11,9,10
FUN_004381,0,0,0,0,0,0,0,0,0,0
