gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_008427,854,1517,1475,1259,2508,2105,1426,2317,2087,2807
FUN_008428,79,108,168,171,191,167,77,174,129,232
FUN_008429,448,1212,512,890,2325,2166,2337,2211,2080,2615
FUN_008430,1464,1978,1445,1554,2245,1769,1608,2230,1901,2471
FUN_008432,33,80,16,56,36,42,70,65,46,71
FUN_008433,0,0,0,0,9,0,12,6,4,5
FUN_008434,0,12,0,15,14,18,19,14,14,16
FUN_008435,0,18,10,15,9,17,10,0,8,12
FUN_008436,261,326,293,297,574,346,332,531,544,588
FUN_008437,26,24,19,30,54,20,51,40,14,54
FUN_008438,177,264,154,189,336,281,267,216,325,449
FUN_008439,20,8,9,26,32,26,22,41,28,61
FUN_008440,67,63,67,59,152,129,93,169,111,173
FUN_008442,47,68,45,43,70,52,82,65,75,83
FUN_008444,1045,1266,953,1097,1793,1448,1477,1779,1530,1992
FUN_008446,255,438,485,436,622,519,348,577,423,694
FUN_008447,2094,3125,2019,2311,7777,6005,2891,9527,6525,8558
FUN_008448,289,327,381,359,685,453,382,618,535,679
FUN_008449,38,63,17,13,62,79,41,52,54,105
FUN_008451,510,775,478,565,1349,1137,643,1402,1013,1324
FUN_008452,324,337,247,258,609,512,378,548,472,707
FUN_008453,242,333,377,300,475,412,292,488,390,564
FUN_008454,63,59,79,96,134,174,96,160,141,189
FUN_008457,1024,1250,564,689,1159,808,957,1093,1160,1278
FUN_008458,274,312,246,285,1091,770,453,1026,849,1080
FUN_008459,5052,7024,6917,5270,7722,5750,7262,7567,6403,7540
FUN_008460,3,0,14,0,8,0,21,7,7,21
FUN_008462,17,64,24,95,29,42,43,29,13,34
FUN_008463,290,372,271,314,576,472,439,654,542,799
FUN_008464,332,437,398,330,908,690,590,873,748,888
FUN_008465,34,12,4,10,15,22,37,46,17,40
FUN_008466,3,14,0,0,15,0,7,4,10,15
FUN_008467,7,8,0,0,9,7,0,5,7,13
FUN_008468,0,0,13,16,18,0,0,24,0,26
FUN_008469,263,895,486,633,384,604,822,471,449,542
FUN_008470,217,375,185,233,534,532,355,568,557,705
FUN_008471,117,195,137,138,296,286,188,247,266,333
FUN_008473,0,5,0,0,58,61,32,85,67,106
FUN_008474,0,9,7,0,6,3,7,15,6,24
