,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_025041,7,25,4,0,45,23,9,20,41,47
FUN_015819,169,177,126,98,168,172,142,156,164,208
FUN_015818,0,0,0,0,0,0,0,0,0,0
FUN_015811,2528,2748,2673,2301,4677,3708,3044,4491,3756,5429
FUN_015810,0,0,0,0,0,0,0,0,0,1
FUN_015813,33,46,40,29,54,48,39,39,21,35
FUN_015812,8,9,7,17,23,20,15,11,16,34
FUN_015815,185,238,198,186,306,259,192,298,201,330
FUN_015814,17,28,12,8,25,12,29,25,11,34
FUN_015817,214,466,266,485,836,801,504,863,625,791
FUN_015816,965,1279,1117,1136,872,595,941,817,853,973
FUN_019820,0,0,0,0,0,0,0,0,0,9
FUN_019822,50,78,48,53,179,107,78,199,127,243
FUN_027148,11,14,31,33,34,41,23,36,40,58
FUN_027149,50,59,15,31,137,54,47,74,49,118
FUN_027146,8,3,0,2,2,8,2,6,5,7
FUN_027147,0,0,0,0,0,0,0,0,0,0
FUN_027144,0,3,0,19,17,10,0,5,0,13
FUN_027145,126,159,108,108,334,245,153,328,323,332
FUN_027142,25,32,17,0,597,223,5,502,307,415
FUN_027143,46,69,82,55,162,102,37,121,97,121
FUN_027140,741,898,770,905,1211,1113,889,1399,1142,1710
FUN_027141,56,73,84,75,166,180,77,161,158,245
FUN_017523,2,2,3,2,2,6,2,0,2,2
FUN_017522,0,0,0,2,0,5,2,3,2,0
FUN_017521,221,353,297,301,457,434,346,464,421,650
FUN_017520,0,0,0,0,0,0,0,0,0,0
FUN_017527,25,19,13,36,16,7,31,7,6,19
FUN_017526,0,0,0,0,0,0,0,0,0,0
FUN_017525,563,932,1045,813,1911,1735,681,1666,1189,2031
FUN_017524,552,915,855,870,1285,894,771,1364,1028,1291
FUN_017529,2444,3022,2596,2735,5256,3876,2737,5114,4149,5097
FUN_017528,11,31,18,12,13,9,15,12,31,22
FUN_023249,232,268,146,222,840,716,284,888,677,907
FUN_023248,0,2,0,0,5,0,0,0,0,0
FUN_023241,0,0,0,0,0,0,3,2,0,0
FUN_023240,694,906,705,665,1504,1059,892,1375,1290,1673
FUN_023243,5,3,0,4,8,9,7,8,7,7
FUN_023242,4755,5870,5648,5938,12091,9827,8230,12430,10260,13193
FUN_023245,1296,2091,1165,1427,3369,2519,2007,3273,2770,4200
FUN_023244,0,0,0,0,0,0,0,0,0,0
FUN_023247,0,0,0,0,6,6,7,0,4,12
FUN_023246,1625,1947,2543,2175,17,624,1946,8,26,33
FUN_018290,3,0,0,0,2,0,0,0,8,5
FUN_018291,0,1,0,0,0,0,0,0,1,2
FUN_018292,520,594,438,459,1047,750,670,959,799,1138
FUN_018293,4,0,2,0,0,0,0,4,4,0
FUN_018294,6746,8596,8087,7216,15278,10630,9110,15055,11987,17113
FUN_018295,0,0,0,0,0,0,0,1,0,0
FUN_018296,224,316,394,321,575,436,365,617,470,585
FUN_018297,0,5,0,1,1,0,1,0,1,2
FUN_018298,19,43,36,20,57,58,35,57,44,86
FUN_018299,0,0,0,0,0,0,0,0,0,0
FUN_018878,0,2,0,0,2,0,0,2,5,0
FUN_018879,661,834,782,838,1261,943,798,1138,994,1364
FUN_018874,0,0,0,0,0,0,0,0,0,0
FUN_018875,33,40,15,29,37,41,40,81,51,70
FUN_018876,466,857,579,683,1351,1042,798,1245,1047,1291
FUN_018877,0,0,0,0,0,0,0,0,1,1
FUN_018870,5397,4591,3861,2168,3059,2729,2798,1044,848,2480
FUN_018871,0,1,2,1,0,0,1,1,1,1
FUN_018872,139,163,161,144,217,179,123,178,191,228
FUN_018873,0,0,0,0,0,0,0,0,0,0
FUN_013493,0,0,0,0,0,0,0,0,0,0
FUN_013492,275,277,360,308,791,636,384,732,529,760
FUN_014443,2263,2939,2884,2744,2804,2487,2477,2686,2444,2900
FUN_013490,0,0,0,0,0,0,0,0,0,0
FUN_014445,0,0,0,2,6,0,3,2,1,4
FUN_014444,0,0,0,3,0,0,0,3,1,2
FUN_013495,0,0,0,0,0,0,0,0,0,0
FUN_014446,0,0,0,0,176,207,92,221,206,278
FUN_010501,815,1200,1142,1052,1742,1293,1113,1612,1412,1948
FUN_007298,2,8,0,3,3,4,7,5,7,8
FUN_007299,2,0,0,2,0,3,2,1,0,0
FUN_021481,0,0,0,0,0,0,0,0,0,0
FUN_021480,341,607,557,489,742,711,490,716,615,937
FUN_021483,136,277,107,142,262,171,164,196,249,251
FUN_021482,225,375,83,217,398,347,278,402,440,519
FUN_021485,270,334,303,347,704,479,439,717,553,813
FUN_021484,0,0,0,0,0,0,0,0,0,0
FUN_021487,12,12,0,12,4,4,14,9,12,5
FUN_021489,0,0,0,0,0,0,0,0,0,0
FUN_021488,0,0,0,0,0,0,0,0,0,0
FUN_007294,49,76,35,32,76,51,57,71,69,89
FUN_001608,0,0,0,0,0,0,0,0,0,0
FUN_007031,134,143,170,153,430,325,137,348,277,358
FUN_004901,793,1048,1143,943,1090,892,996,963,919,1343
FUN_004900,0,0,0,0,0,0,0,0,0,0
FUN_004903,0,0,0,0,0,0,0,0,0,0
FUN_004902,0,0,0,0,0,0,0,0,0,0
FUN_004905,1198,1359,908,979,1615,1177,1262,1599,1152,1578
FUN_004904,250,197,182,215,238,155,182,192,159,252
FUN_004907,0,0,0,0,0,0,0,0,0,0
FUN_004906,443,574,547,520,933,900,775,901,876,1210
FUN_004909,32,56,51,46,72,52,49,73,76,85
FUN_004908,0,0,0,0,0,0,0,0,0,0
FUN_011431,0,16,20,23,65,69,15,29,28,73
FUN_000959,40,27,11,16,47,48,64,47,52,52
FUN_020288,482,644,413,599,1363,1250,892,1470,1158,1752
FUN_020289,0,0,0,0,0,0,0,0,0,0
FUN_020284,194,229,198,173,117,88,196,78,51,91
FUN_020285,65,86,61,77,28,29,71,15,30,22
FUN_020286,829,1379,928,994,2503,1899,1521,2329,1934,2825
FUN_007037,10,29,18,18,80,70,462,83,94,122
FUN_020280,839,1202,1058,1017,1715,1418,1091,1763,1474,1886
FUN_020281,0,0,6,0,0,3,5,0,0,0
FUN_020282,168,94,42,39,89,64,71,37,43,70
FUN_020283,88,153,122,116,333,361,139,348,198,402
FUN_011434,1040,1217,906,918,1298,1102,986,1005,978,1398
FUN_029240,0,15,2,3,8,4,0,3,6,9
FUN_011439,494,634,617,569,643,562,387,513,241,590
FUN_001999,76,213,234,245,80,101,63,86,74,111
FUN_001998,0,2,0,0,2,0,6,0,0,4
FUN_011438,829,924,944,965,2129,1679,1114,1383,1367,2156
FUN_001991,10,30,22,28,17,14,21,29,35,42
FUN_001990,61,95,113,98,121,91,91,114,79,125
FUN_001993,5,4,2,5,9,4,4,5,7,9
FUN_001995,43,68,50,48,77,72,53,50,62,90
FUN_001994,0,0,0,0,0,0,0,0,0,0
FUN_001997,0,0,0,0,0,0,0,0,0,0
FUN_001996,2,5,4,0,0,6,4,0,8,8
FUN_020756,1,0,2,0,0,0,0,7,2,9
FUN_020757,193,386,267,371,432,312,302,325,200,455
FUN_020754,695,1269,875,1076,1525,1409,820,1408,1314,1617
FUN_020755,515,355,409,371,113,173,492,0,0,191
FUN_020752,0,0,0,0,3,4,0,0,0,1
FUN_020753,55,104,97,91,101,112,81,124,84,147
FUN_020750,0,0,1,0,0,0,0,0,0,0
FUN_020751,604,641,574,496,117,234,639,49,57,105
FUN_020758,0,0,0,0,8,0,5,5,5,12
FUN_020759,90,92,82,65,215,164,42,180,133,282
FUN_000118,8,5,13,15,12,7,16,20,16,18
FUN_000119,1,7,2,4,2,3,1,2,1,4
FUN_000116,0,0,0,0,0,0,0,0,0,0
FUN_000117,44,74,29,59,127,84,66,97,94,137
FUN_000114,10,11,8,10,47,38,17,35,44,48
FUN_000115,12,38,53,30,78,58,22,68,52,68
FUN_000112,0,22,19,4,0,0,6,0,0,7
FUN_000113,0,0,0,0,0,0,0,0,0,0
FUN_000110,0,9,0,0,7,19,0,8,48,12
FUN_000111,18,27,21,33,40,64,25,80,62,88
FUN_007768,0,0,0,1,2,2,0,2,1,0
FUN_007769,47,58,84,0,72,61,63,41,107,72
FUN_007760,45,84,67,56,124,98,54,92,96,137
FUN_007761,50,78,43,64,190,128,74,132,110,197
FUN_007762,28,23,36,26,52,39,30,47,39,63
FUN_007763,0,0,0,0,0,0,0,0,0,0
FUN_007764,3928,5102,4626,3580,4870,3450,4177,4781,6341,6992
FUN_007765,0,0,0,0,0,0,0,0,0,0
FUN_007766,0,0,0,0,0,0,0,0,0,2
FUN_007767,52,39,63,26,66,64,34,51,59,56
FUN_014847,0,0,0,0,0,0,0,0,0,0
FUN_005692,207,274,228,282,645,579,365,641,503,824
FUN_005693,931,1473,1354,1234,1818,1483,1319,1695,1491,2096
FUN_005690,0,4,0,0,0,0,6,0,0,0
FUN_005691,12,43,43,22,40,21,40,44,27,35
FUN_005696,7,20,21,13,21,14,10,34,15,20
FUN_005697,7,21,0,3,19,23,15,26,33,52
FUN_005694,0,0,0,0,0,0,0,0,0,0
FUN_005695,3,8,17,8,7,14,9,9,14,13
FUN_005698,13,25,9,12,20,0,19,24,5,36
FUN_005699,1776,3308,1202,1596,2793,2151,2243,2939,3510,3198
