,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_003379-T1,451,291,291,245,200,293,523,145,115,222
FUN_011082-T1,26,47,33,45,66,46,42,64,48,57
FUN_020726-T1,0,0,0,0,0,0,0,0,0,0
FUN_020368-T1,0,0,0,0,0,0,0,0,0,0
FUN_030753-T1,1299,1947,2714,2177,3011,2476,1782,2751,2250,2775
FUN_005986-T1,843,999,1149,991,1114,835,879,943,991,1220
FUN_017875-T1,13,27,8,15,33,18,21,22,45,41
FUN_010675-T1,317,416,348,449,684,555,421,585,557,806
FUN_003067-T1,0,1,0,0,0,2,0,3,0,2
FUN_008583-T1,0,0,0,0,0,0,0,0,0,0
FUN_008736-T1,1296,1956,2234,1687,3500,2593,1714,3257,2535,3597
FUN_010900-T1,11,17,15,12,8,2,15,5,5,12
FUN_020376-T1,344,963,552,744,1936,1143,785,1605,1475,1920
FUN_016508-T1,16,24,11,23,60,30,9,43,74,37
FUN_001475-T1,8,13,13,20,16,11,22,15,14,12
FUN_003310-T1,1049,1495,1714,1280,1521,1060,1224,1340,1078,1580
FUN_015368-T1,0,0,0,0,3,0,0,2,0,0
FUN_017995-T1,0,0,0,0,0,0,0,0,0,0
FUN_025656-T1,16,75,118,124,178,129,65,123,220,405
FUN_025656-T2,273,216,149,288,461,305,201,417,48,135
FUN_029786-T1,117,157,143,129,216,150,127,174,157,191
